iter	MultiClass
641	0.1220597438
642	0.1218897017
643	0.121854594
644	0.1217750445
645	0.1216471812
646	0.1214094536
647	0.1213274132
648	0.1211265586
649	0.1209956647
650	0.1208305632
651	0.1207730577
652	0.1207356698
653	0.1206574861
654	0.1206495692
655	0.1206177672
656	0.1205164752
657	0.1204667445
658	0.1202002829
659	0.1200713888
660	0.1199376079
661	0.1198039019
662	0.1196456926
663	0.1194797634
664	0.1193872882
665	0.1193698942
666	0.119266841
667	0.1191771517
668	0.1190799588
669	0.1189996498
670	0.118963042
671	0.1188732025
672	0.1188422072
673	0.1187574725
674	0.1186260834
675	0.1185025812
676	0.1184156702
677	0.118260333
678	0.118186674
679	0.1180639108
680	0.1179543011
681	0.1177742315
682	0.1176631858
683	0.1174932424
684	0.1173968987
685	0.1171961881
686	0.1170835838
687	0.1170260717
688	0.1168209238
689	0.1167026371
690	0.1164948662
691	0.116114995
692	0.1159876775
693	0.1159557501
694	0.1157895392
695	0.1156539901
696	0.115462747
697	0.1153362043
698	0.1151755189
699	0.115007247
700	0.1149418062
701	0.1148350692
702	0.1147518527
703	0.1146728793
704	0.1145263431
705	0.1143631824
706	0.1141591704
707	0.1140796909
708	0.1139731174
709	0.1139418167
710	0.1138369305
711	0.113676316
712	0.1136164529
713	0.1135269225
714	0.1133576889
715	0.1133234488
716	0.11325373
717	0.1131600101
718	0.1130642539
719	0.1128432323
720	0.1127872094
721	0.1126804411
722	0.1124563518
723	0.1123289925
724	0.1122328704
725	0.1121051207
726	0.1120272776
727	0.1117436632
728	0.1116686014
729	0.1116251761
730	0.1115430653
731	0.1114905915
732	0.1114539032
733	0.1113814414
734	0.111232123
735	0.111127822
736	0.1110302818
737	0.1109311374
738	0.1108725376
739	0.1108545588
740	0.1108221017
741	0.1107193805
742	0.1105929034
743	0.1105621196
744	0.110440696
745	0.1103019562
746	0.1101129666
747	0.1100237426
748	0.1098279319
749	0.1097203522
750	0.1095711281
751	0.1095456741
752	0.1094594243
753	0.1093355685
754	0.1092609464
755	0.1091417216
756	0.1089309966
757	0.1088556535
758	0.1088030748
759	0.1086255618
760	0.1086079547
761	0.108503542
762	0.1083687659
763	0.1083619045
764	0.1083302565
765	0.1083135569
766	0.1082012985
767	0.1080857466
768	0.1080641973
769	0.1078922763
770	0.1078365866
771	0.1077509003
772	0.1076629925
773	0.1076157406
774	0.1075654199
775	0.1075111188
776	0.1074410341
777	0.1073439786
778	0.1072447786
779	0.1070930876
780	0.1070439697
781	0.1068960041
782	0.1067557714
783	0.1067179557
784	0.1066489299
785	0.1065379786
786	0.10638801
787	0.1062810776
788	0.1062324166
789	0.106058222
790	0.1060419428
791	0.1060051213
792	0.1059076681
793	0.1058437225
794	0.105784607
795	0.1057177939
796	0.1056041291
797	0.1055521116
798	0.1054805458
799	0.1053754703
800	0.1053032241
801	0.1051831223
802	0.1050935157
803	0.1049908153
804	0.1049470901
805	0.1048538347
806	0.1048137289
807	0.1047435863
808	0.1046312154
809	0.1045022855
810	0.104406232
811	0.1043442904
812	0.104241719
813	0.1041634154
814	0.1039321491
815	0.1038423776
816	0.1036814645
817	0.1035433749
818	0.103411814
819	0.1033302659
820	0.1032751727
821	0.1031959462
822	0.1030264937
823	0.1029337548
824	0.1028101861
825	0.1027972288
826	0.1026984197
827	0.1026156817
828	0.1025503585
829	0.1024645081
830	0.102326486
831	0.1022628966
832	0.1021950512
833	0.1020575199
834	0.1019894399
835	0.1019303627
836	0.1018791175
837	0.1017733543
838	0.1017083742
839	0.101470296
840	0.1014509131
841	0.1012588941
842	0.1011129515
843	0.1010227846
844	0.1008695296
845	0.1007952906
846	0.100733091
847	0.1006407828
848	0.1005773652
849	0.1005531609
850	0.1004597241
851	0.1003037143
852	0.1002670194
853	0.1001502731
854	0.1000130956
855	0.09999951508
856	0.09993888245
857	0.09980589659
858	0.09966360736
859	0.09950442971
860	0.09945048935
861	0.09941941972
862	0.09929819983
863	0.09917960773
864	0.09912438025
865	0.09899757793
866	0.09884345223
867	0.09880628798
868	0.09872850405
869	0.09863864591
870	0.09854495681
871	0.09850118755
872	0.09830210336
873	0.09826032368
874	0.0981848123
875	0.09817159283
876	0.09805886817
877	0.09796739363
878	0.09786473221
879	0.09785115013
880	0.09763358488
881	0.09754276821
882	0.09742090399
883	0.09734247248
884	0.09717477549
885	0.09709331654
886	0.09699254368
887	0.09688542504
888	0.09675544418
889	0.09668223384
890	0.09667021548
891	0.09661667133
892	0.09657461905
893	0.09655448817
894	0.09647688852
895	0.0963794005
896	0.09633311958
897	0.09630391474
898	0.09626704141
899	0.09605038833
900	0.0959998367
901	0.0959329907
902	0.09587848317
903	0.09580636475
904	0.09578087827
905	0.09567733866
906	0.09564362364
907	0.09562776332
